split,model,threshold,accuracy,precision,recall,f1_score,roc_auc,confusion_matrix.tn,confusion_matrix.fp,confusion_matrix.fn,confusion_matrix.tp
validation,logistic_regression_balanced,0.5814661347945678,0.7896281800391389,0.15767634854771784,0.76,0.2611683848797251,0.8374279835390946,769,203,12,38
test,logistic_regression_balanced,0.5814661347945678,0.7935420743639922,0.16597510373443983,0.8,0.27491408934707906,0.843641975308642,771,201,10,40
